name,phone_type,phone_number
Liban Impex,Phone,+251 113 69 20 78
Liban Impex,Phone 2,+251 112 31 10 05
Liban Impex,Mobile,+251 902 30 75 75
Liban Impex,Mobile 2,+251 920 33 00 22
Liban Impex,Phone,+251 113 69 20 78
Liban Impex,Phone 2,+251 112 31 10 05
Liban Impex,Mobile,+251 902 30 75 75
Liban Impex,Mobile 2,+251 920 33 00 22
ELDES ENGINEERING PLC,Phone,+251 118 26 90 67
ELDES ENGINEERING PLC,Mobile,+251 911 22 35 36
ELDES ENGINEERING PLC,Mobile 2,+251 911 75 86 09
ELDES ENGINEERING PLC,Mobile 3,+2511 930 00 02 22
ELDES ENGINEERING PLC,Phone,+251 118 26 90 67
ELDES ENGINEERING PLC,Mobile,+251 911 22 35 36
ELDES ENGINEERING PLC,Mobile 2,+251 911 75 86 09
ELDES ENGINEERING PLC,Mobile 3,+2511 930 00 02 22
Aster Bunna,Mobile,+251 930 03 50 47
Aster Bunna,Mobile 2,+251 930 03 50 49
Aster Bunna,Mobile,+251 930 03 50 47
Aster Bunna,Mobile 2,+251 930 03 50 49
G-LINK Technolgy Company,Phone,+251 930 36 77 86
G-LINK Technolgy Company,Phone,+251 930 36 77 86
Green Forests Export and Import,Mobile,+251 911 257997
Green Forests Export and Import,Mobile,+251 911 257997
Addis Tech Import and Export,Mobile,+251 911 69 10 46
Addis Tech Import and Export,Mobile 2,+251 917 55 40 27
Addis Tech Import and Export,Mobile 3,+251 973 81 35 59
Addis Tech Import and Export,Mobile,+251 911 69 10 46
Addis Tech Import and Export,Mobile 2,+251 917 55 40 27
Addis Tech Import and Export,Mobile 3,+251 973 81 35 59
Mesfin Fetene Leather Products | መስፍን ፈጠነ የቆዳ ውጤቶች,Mobile,+251 913 911182
Mesfin Fetene Leather Products | መስፍን ፈጠነ የቆዳ ውጤቶች,Mobile,+251 913 911182
Ethio-Nippon Technical Company S.C. (ENITCO),Phone,+251 115 51 46 61
Ethio-Nippon Technical Company S.C. (ENITCO),Phone 2,+251 115 51 47 81 (Vehicle Sales)
Ethio-Nippon Technical Company S.C. (ENITCO),Phone 3,+251 115 51 55 54 (JCB Sales)
Ethio-Nippon Technical Company S.C. (ENITCO),Phone,+251 115 51 46 61
Ethio-Nippon Technical Company S.C. (ENITCO),Phone 2,+251 115 51 47 81 (Vehicle Sales)
Ethio-Nippon Technical Company S.C. (ENITCO),Phone 3,+251 115 51 55 54 (JCB Sales)
Nikotika Construction and Trading PLC,Phone,+251 116 592 199
Nikotika Construction and Trading PLC,Mobile,+251 933 656 565
Nikotika Construction and Trading PLC,Phone,+251 116 592 199
Nikotika Construction and Trading PLC,Mobile,+251 933 656 565
"Habtamu, Fiker and Friends Mineral P/S | ሃብታሙ፣ ፍቅር እና ጓ...",Mobile,+251 910 435028
"Habtamu, Fiker and Friends Mineral P/S | ሃብታሙ፣ ፍቅር እና ጓ...",Mobile,+251 910 435028
Dara Coffee Exporter PLC,Mobile,+251 91 123 8304
Dara Coffee Exporter PLC,Mobile,+251 91 123 8304
ALEME AMSALU IMPORTER AND DISTRIBUTOR,Mobile,+251 911 22 29 54
ALEME AMSALU IMPORTER AND DISTRIBUTOR,Mobile 2,+251 943 18 98 42
ALEME AMSALU IMPORTER AND DISTRIBUTOR,Mobile 3,+251 911 24 87 06
ALEME AMSALU IMPORTER AND DISTRIBUTOR,Mobile,+251 911 22 29 54
ALEME AMSALU IMPORTER AND DISTRIBUTOR,Mobile 2,+251 943 18 98 42
ALEME AMSALU IMPORTER AND DISTRIBUTOR,Mobile 3,+251 911 24 87 06
Murabaha Trading PLC,Phone,+251 911 20 88 74
Murabaha Trading PLC,Mobile,+251 911 21 40 10
Murabaha Trading PLC,Phone,+251 911 20 88 74
Murabaha Trading PLC,Mobile,+251 911 21 40 10
Morningstar Engineering & Trading Pvt.Ltd.Co,Mobile,+251 911 54 64 05
Morningstar Engineering & Trading Pvt.Ltd.Co,Mobile,+251 911 54 64 05
Alkane IMPORT EXPORT,Mobile,+251 911 42 16 64
Alkane IMPORT EXPORT,Mobile 2,+251 912 68 84 76
Alkane IMPORT EXPORT,Mobile 3,+251 911 25 20 06
Alkane IMPORT EXPORT,Mobile,+251 911 42 16 64
Alkane IMPORT EXPORT,Mobile 2,+251 912 68 84 76
Alkane IMPORT EXPORT,Mobile 3,+251 911 25 20 06
Atmar General Construction | አትማር  ጠቅላላ ስራ ተቋራጭ,Mobile,+251 913 262827
Atmar General Construction | አትማር  ጠቅላላ ስራ ተቋራጭ,Mobile,+251 913 262827
Thermo Fam Trading PLC,Phone,+251 115 53 09 79
Thermo Fam Trading PLC,Mobile,+251 953 80 80 80
Thermo Fam Trading PLC,Phone,+251 115 53 09 79
Thermo Fam Trading PLC,Mobile,+251 953 80 80 80
Unity Import and Export,Phone,+251 955 19 64 23
Unity Import and Export,Phone 2,+251 955 19 64 23
Unity Import and Export,Phone 3,+251 941 95 51 42
Unity Import and Export,Phone,+251 955 19 64 23
Unity Import and Export,Phone 2,+251 955 19 64 23
Unity Import and Export,Phone 3,+251 941 95 51 42
Woinemit Trading PLC and General Construction,Mobile,+251 911 22 70 14
Woinemit Trading PLC and General Construction,Mobile 2,+251  911 22 88 47
Woinemit Trading PLC and General Construction,Mobile,+251 911 22 70 14
Woinemit Trading PLC and General Construction,Mobile 2,+251  911 22 88 47
Rad Best Trading,Phone,+251 114 70 19 78
Rad Best Trading,Mobile,+251 903 44 44 40
Rad Best Trading,Phone,+251 114 70 19 78
Rad Best Trading,Mobile,+251 903 44 44 40
Belete Shibeshi PLC,Phone,+251 111 11 27 62
Belete Shibeshi PLC,Phone 2,+251 111 55 91 90
Belete Shibeshi PLC,Phone 3,+251 114 67 28 28
Belete Shibeshi PLC,Phone,+251 111 11 27 62
Belete Shibeshi PLC,Phone 2,+251 111 55 91 90
Belete Shibeshi PLC,Phone 3,+251 114 67 28 28
Lanchihun Business PLC,Phone,+251 11662 7378
Lanchihun Business PLC,Mobile,+251 911 203 176
Lanchihun Business PLC,Phone,+251 11662 7378
Lanchihun Business PLC,Mobile,+251 911 203 176
FMS Trading PLC,Phone,+251 11 471 32 14
FMS Trading PLC,Mobile,+251 930 41 42 43
FMS Trading PLC,Mobile 2,+251 903 06 07 08
FMS Trading PLC,Phone,+251 11 471 32 14
FMS Trading PLC,Mobile,+251 930 41 42 43
FMS Trading PLC,Mobile 2,+251 903 06 07 08
Hake Trade & Industry Enterprise,Phone,+251 11 4403218
Hake Trade & Industry Enterprise,Phone 2,+251 11 4402126
Hake Trade & Industry Enterprise,Mobile,+251 91 1209674
Hake Trade & Industry Enterprise,Mobile 2,+251 91  1216739
Hake Trade & Industry Enterprise,Mobile 3,+251 91 1126100
Hake Trade & Industry Enterprise,Phone,+251 11 4403218
Hake Trade & Industry Enterprise,Phone 2,+251 11 4402126
Hake Trade & Industry Enterprise,Mobile,+251 91 1209674
Hake Trade & Industry Enterprise,Mobile 2,+251 91  1216739
Hake Trade & Industry Enterprise,Mobile 3,+251 91 1126100
JMBS Import,Phone,+251 116 686197
JMBS Import,Mobile,+251 947 359415
JMBS Import,Phone,+251 116 686197
JMBS Import,Mobile,+251 947 359415
Axum Tibeb,Phone,+251 911 77 32 55
Axum Tibeb,Mobile,+251 911 23 72 94
Axum Tibeb,Mobile 2,+251 911 77 32 55
Axum Tibeb,Mobile 3,+251 920 72 56 54
Axum Tibeb,Phone,+251 911 77 32 55
Axum Tibeb,Mobile,+251 911 23 72 94
Axum Tibeb,Mobile 2,+251 911 77 32 55
Axum Tibeb,Mobile 3,+251 920 72 56 54
Maensu Business PLC,Phone,+251 930 32 91 72
Maensu Business PLC,Mobile,+251 935 98 17 91 (Senga Tera Shop)
Maensu Business PLC,Mobile 2,+251 961 72 72 72 (Yobek Shop)
Maensu Business PLC,Mobile 3,+251 967 63 63 63 (Urael Shop)
Maensu Business PLC,Phone,+251 930 32 91 72
Maensu Business PLC,Mobile,+251 935 98 17 91 (Senga Tera Shop)
Maensu Business PLC,Mobile 2,+251 961 72 72 72 (Yobek Shop)
