name,phone_type,phone_number,website
Nikotika Construction and Trading PLC,Phone,+251 116 592 199,http://www.nikotikaconstruction.com
Nikotika Construction and Trading PLC,Mobile,+251 933 656 565,http://www.nikotikaconstruction.com
Filimon Import and Export International (FIE internatio...,Mobile,+251 912 67 05 20,
Filimon Import and Export International (FIE internatio...,Mobile 2,+251 983 77 11 45,
Alkane IMPORT EXPORT,Mobile,+251 911 42 16 64,https://www.alkaneorganic.com/
Alkane IMPORT EXPORT,Mobile 2,+251 912 68 84 76,https://www.alkaneorganic.com/
Alkane IMPORT EXPORT,Mobile 3,+251 911 25 20 06,https://www.alkaneorganic.com/
Thermo Fam Trading PLC,Phone,+251 115 53 09 79,https://thermofamtradingplc.com
Thermo Fam Trading PLC,Mobile,+251 953 80 80 80,https://thermofamtradingplc.com
FMS Trading PLC,Phone,+251 11 471 32 14,http://fmstradingplc.com/
FMS Trading PLC,Mobile,+251 930 41 42 43,http://fmstradingplc.com/
FMS Trading PLC,Mobile 2,+251 903 06 07 08,http://fmstradingplc.com/
Alemu Nega Haile Export,Mobile,+251 929 006069,http://alemunega.com
Lanchihun Business PLC,Phone,+251 11662 7378,
Lanchihun Business PLC,Mobile,+251 911 203 176,
Halkayan Industry and Trading PLC,Phone,+251 118 720811,https://halkayanindustry.tradeindia.com/
Halkayan Industry and Trading PLC,Mobile,+251911248831,https://halkayanindustry.tradeindia.com/
Halkayan Industry and Trading PLC,Mobile 2,+910911248831,https://halkayanindustry.tradeindia.com/
Halkayan Industry and Trading PLC,Mobile 3,+910930470965,https://halkayanindustry.tradeindia.com/
SHEBATRA PLC,Phone,+251 115 54 43 13,
SHEBATRA PLC,Phone 2,+251 115 54 43 26,
SHEBATRA PLC,Mobile,+251 911 21 48 96,
SHEBATRA PLC,Mobile 2,+251 911 60 28 51,
Maensu Business PLC,Phone,+251 930 32 91 72,
Maensu Business PLC,Mobile,+251 935 98 17 91 (Senga Tera Shop),
Maensu Business PLC,Mobile 2,+251 961 72 72 72 (Yobek Shop),
Maensu Business PLC,Mobile 3,+251 967 63 63 63 (Urael Shop),
Woinemit Trading PLC and General Construction,Mobile,+251 911 22 70 14,
Woinemit Trading PLC and General Construction,Mobile 2,+251  911 22 88 47,
Hydro Solution Import & Export,Phone,+251 114 70 19 81,
Hydro Solution Import & Export,Phone 2,+251 118 88 06 99,
Hydro Solution Import & Export,Mobile,+251 911 65 57 81,
Hydro Solution Import & Export,Mobile 2,+251 911 96 66 93,
Ethio-Nippon Technical Company S.C. (ENITCO),Phone,+251 115 51 46 61,http://www.ethio-nippon.com
Ethio-Nippon Technical Company S.C. (ENITCO),Phone 2,+251 115 51 47 81 (Vehicle Sales),http://www.ethio-nippon.com
Ethio-Nippon Technical Company S.C. (ENITCO),Phone 3,+251 115 51 55 54 (JCB Sales),http://www.ethio-nippon.com
Dejen G/Meskel Import and Export,Phone 2,+251 116 683286,
Dejen G/Meskel Import and Export,Phone 3,+251 116 660771,
Dejen G/Meskel Import and Export,Mobile,+251 911 385471,
ABDULSEMED EXPORT AND IMPORT PLC,Phone,+251 111 56 60 53,
ABDULSEMED EXPORT AND IMPORT PLC,Phone 2,+251 111 55 84 55,
ABDULSEMED EXPORT AND IMPORT PLC,Mobile,+251 911 50 59 82,
ABDULSEMED EXPORT AND IMPORT PLC,Mobile 2,+251 911 50 59 30,
Unity Import and Export,Phone,+251 955 19 64 23,https://unityimportandexport.com
Unity Import and Export,Phone 3,+251 941 95 51 42,https://unityimportandexport.com
Fasil Ayalew Import & Export,Phone,+251 118 10 67 99,
Fasil Ayalew Import & Export,Mobile,+251 911 20 33 00,
Hake Trade & Industry Enterprise,Phone,+251 11 4403218,http://www.hakesport.com
Hake Trade & Industry Enterprise,Phone 2,+251 11 4402126,http://www.hakesport.com
Hake Trade & Industry Enterprise,Mobile,+251 91 1209674,http://www.hakesport.com
Hake Trade & Industry Enterprise,Mobile 2,+251 91  1216739,http://www.hakesport.com
Hake Trade & Industry Enterprise,Mobile 3,+251 91 1126100,http://www.hakesport.com
Morningstar Engineering & Trading Pvt.Ltd.Co,Mobile,+251 911 54 64 05,http://morningstarengineeringet.com/
Rad Best Trading,Phone,+251 114 70 19 78,https://radbesttrading.com/
Rad Best Trading,Mobile,+251 903 44 44 40,https://radbesttrading.com/
LEGGIO ALUMINIUM PLC,Phone,+251 115 15 34 66,
LEGGIO ALUMINIUM PLC,Phone 2,+251 115 52 36 52,
LEGGIO ALUMINIUM PLC,Mobile,+251 911 21 18 60,
DELTA PRODUCTION & COMMERCIAL ENTERPRISE PLC,Phone,+251 11 1564568/69,
DELTA PRODUCTION & COMMERCIAL ENTERPRISE PLC,Mobile,+251 91 1205488,
SALASAR COMPOUNDS P.L.C,Phone,+251 11 4404646/4426186,
SALASAR COMPOUNDS P.L.C,Mobile,+251 91 0911505213/1505174,
