name,phone_type,phone_number,website
DAMA TRADE,Phone,+251 113 71 17 40,
DAMA TRADE,Phone 2,+251 113 71 68 78,
DAMA TRADE,Phone 3,+251 113 20 21 05,
DAMA TRADE,Mobile,+251 911 20 61 31,
DAMA TRADE,Mobile 2,+251 911 41 00 26,
Atlas Solutions Ltd,Phone,+251 115 57 54 50,http://www.atlassolutionhk.com/
Atlas Solutions Ltd,Mobile,+251 952 47 47 47,http://www.atlassolutionhk.com/
Atlas Solutions Ltd,Mobile 2,+251 902 55 44 22,http://www.atlassolutionhk.com/
MOAG ENGINEERING & TRADING PLC,Phone,+251 118 88 57 57,http://moagengineering.com
MOAG ENGINEERING & TRADING PLC,Mobile,+251 930 10 65 30,http://moagengineering.com
MOAG ENGINEERING & TRADING PLC,Mobile 2,+251 911 24 96 27,http://moagengineering.com
General Power PLC,Phone,+ 251 11 4163555,http://www.generalpowerplc.com
General Power PLC,Mobile,+251 91 1514512,http://www.generalpowerplc.com
Digital Electronics Plc,Mobile,+251 914 83 97 54,http://digitalelectronicsplc.com
Digital Electronics Plc,Mobile 2,+251 703 83 97 54,http://digitalelectronicsplc.com
HVAC & Refrigeration Service,Phone,+251 116 45 38 94,https://hvacrethiopia.com/
HVAC & Refrigeration Service,Mobile,+251 926 79 20 80,https://hvacrethiopia.com/
HVAC & Refrigeration Service,Mobile 2,+251 911 21 86 87,https://hvacrethiopia.com/
H2O ENGINEERING PLC Popular,Phone,+251115505678,http://H2Oethiopia.com
H2O ENGINEERING PLC Popular,Mobile,+251956040404,http://H2Oethiopia.com
H2O ENGINEERING PLC Popular,Mobile 2,+251930001693,http://H2Oethiopia.com
H2O ENGINEERING PLC Popular,Mobile 3,+251907376022,http://H2Oethiopia.com
Electric World PLC,Phone,+251 11 1569801,http://electricworldethio.com
Electric World PLC,Phone 2,+251 11 1565840,http://electricworldethio.com
Splenor Technology PLC,Phone,+251 11 470 31 70,http://www.splenortechnology.com
Splenor Technology PLC,Mobile,+251 911 73 34 85,http://www.splenortechnology.com
Splenor Technology PLC,Mobile 2,+251 935 99 90 05,http://www.splenortechnology.com
Cool Stay Electrical & Refrigeration Company,Mobile,+251 911 492829,
Cool Stay Electrical & Refrigeration Company,Mobile 2,+251 943 299469,
EHDA INTERNATIONAL TRADING PLC,Phone,+25111 111 4756,http://www.ehdainternational.com
EHDA INTERNATIONAL TRADING PLC,Phone 2,+25111 111 4719,http://www.ehdainternational.com
EHDA INTERNATIONAL TRADING PLC,Mobile,+251911209003,http://www.ehdainternational.com
EHDA INTERNATIONAL TRADING PLC,Mobile 2,+251911229487,http://www.ehdainternational.com
Astunet Business Enterprises PLC,Phone,+251 116 18 49 68,http://www.astunet.com
Astunet Business Enterprises PLC,Phone 2,+251 116 62 79 67,http://www.astunet.com
Astunet Business Enterprises PLC,Phone 3,+251 116 62 79 61,http://www.astunet.com
Astunet Business Enterprises PLC,Mobile,+251 911 20 33 72,http://www.astunet.com
Astunet Business Enterprises PLC,Mobile 2,+251 939 66 50 32,http://www.astunet.com
Astunet Business Enterprises PLC,Mobile 3,+251 908 39 39 39,http://www.astunet.com
Signal Electrical Trading,Phone,+251 115 57 61 01,
Signal Electrical Trading,Mobile,+251 911 20 71 33,
Signal Electrical Trading,Mobile 2,+251 911 67 23 18,
Negarobe Engineering Services PLC,Mobile,+251-911 214681,
Negarobe Engineering Services PLC,Mobile 2,+251-911 514939,
Bule Electrical Trading Company,Phone,+251 111 55 75 27,https://buleelectricalmaterials.com/
Bule Electrical Trading Company,Phone 2,+251 111 55 97 55,https://buleelectricalmaterials.com/
Bule Electrical Trading Company,Phone 3,+251 111 55 98 89,https://buleelectricalmaterials.com/
