name,link
1517 Fund,https://sandhill.io/feeds/1517-fund
Adam Goldberg,https://sandhill.io/feeds/adam-goldberg
Andrew Lee,https://sandhill.io/feeds/andrew-lee
Avichal Garg,https://sandhill.io/feeds/avichal-garg
Brad Baum,https://sandhill.io/feeds/brad-baum
Changemaker Ventures,https://sandhill.io/feeds/changemaker-ventures
Craft Ventures,https://sandhill.io/feeds/craft-ventures
David Sherry,https://sandhill.io/feeds/david-sherry
Eliot Durbin,https://sandhill.io/feeds/eliot-durbin
Fintech Takes,https://sandhill.io/feeds/fintech-takes
Geoff Lewis,https://sandhill.io/feeds/geoff-lewis
Ilya Fushman,https://sandhill.io/feeds/ilya-fushman
Jeff Bussgang,https://sandhill.io/feeds/jeff-bussgang
Jonathan Ellis,https://sandhill.io/feeds/jonathan-ellis
Kyle Harrison,https://sandhill.io/feeds/kyle-harrison
M.G. Siegler,https://sandhill.io/feeds/m-g-siegler
Medha Agarwal,https://sandhill.io/feeds/medha-agarwal
Morgan Polotan,https://sandhill.io/feeds/morgan-polotan
Nicole North,https://sandhill.io/feeds/nicole-north
Pablo Dominguez,https://sandhill.io/feeds/pablo-dominguez
Redpoint Ventures,https://sandhill.io/feeds/redpoint-ventures
Sam Altman,https://sandhill.io/feeds/sam-altman
Semil Shah,https://sandhill.io/feeds/semil-shah-102553dd-5cea-4e41-b3df-b4ea51cfbf03
Spencer Peterson,https://sandhill.io/feeds/spencer-peterson-c66f0e53-3c6f-4878-82f3-ca4039d9a81e
Talent Venture Group,https://sandhill.io/feeds/talent-venture-group
The Rambler,https://sandhill.io/feeds/the-rambler
Uncork Capital,https://sandhill.io/feeds/uncork-capital
